"datetime","lake","variable","unit","observation","depth","depth_id"
2024-05-16 05:00:00,"peter","do","degC",16.1415833333333,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.05675,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",15.0676666666667,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.2245,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.980075,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.33544166666667,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.75806666666667,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.90980833333333,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.306225,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.70384166666667,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.1313333333333,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.1201666666667,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.033,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.8488333333333,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.2415,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",10.1046083333333,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.263875,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.80629166666667,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.89319166666667,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.26753333333333,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.667125,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.0441666666667,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.0513333333333,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.0348333333333,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.8250833333333,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.3610833333333,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.918425,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.13618333333333,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.89519166666667,4,NA
